Method,Ne=24,Ne=30,Ne=40,Ne=50
EnKF,2.7485 +/- 0.4584,2.3171 +/- 0.3876,2.1741 +/- 0.1987,2.1085 +/- 0.3434
EnKF-Cholesky,1.9859 +/- 0.2947,1.8098 +/- 0.2589,1.8694 +/- 0.2517,1.8761 +/- 0.3092
Identity Shrinkage,1.9540 +/- 0.2548,1.8004 +/- 0.2612,1.8837 +/- 0.2097,1.8575 +/- 0.2993
Scaled Shrinkage,1.9889 +/- 0.2880,1.8076 +/- 0.2640,1.8935 +/- 0.2289,1.8691 +/- 0.3050
Eigenvalue Shrinkage,2.3542 +/- 0.3314,2.0491 +/- 0.2960,2.0033 +/- 0.1990,1.9680 +/- 0.3242
Cosmological Shrinkage,2.2095 +/- 0.3043,2.0615 +/- 0.3073,2.0373 +/- 0.2135,2.0227 +/- 0.3329
NERCOME,1.8828 +/- 0.1960,1.8151 +/- 0.1867,1.9128 +/- 0.2919,1.8548 +/- 0.2710
Ledoit-Wolf,1.8797 +/- 0.2559,1.7631 +/- 0.2610,1.8598 +/- 0.2119,1.8399 +/- 0.2984
